CODAUTO,Comunidad Aut¢noma,CPRO,Provincia
1,Andaluc¡a,4,Almer¡a
1,Andaluc¡a,11,C diz
1,Andaluc¡a,14,C¢rdoba
1,Andaluc¡a,18,Granada
1,Andaluc¡a,21,Huelva
1,Andaluc¡a,23,Ja‚n
1,Andaluc¡a,29,M laga
1,Andaluc¡a,41,Sevilla
2,Arag¢n,22,Huesca
2,Arag¢n,44,Teruel
2,Arag¢n,50,Zaragoza
3,"Asturias, Principado de",33,Asturias
4,"Balears, Illes",7,"Balears, Illes"
5,Canarias,35,"Palmas, Las"
5,Canarias,38,Santa Cruz de Tenerife
6,Cantabria,39,Cantabria
7,Castilla y Le¢n,5,µvila
7,Castilla y Le¢n,9,Burgos
7,Castilla y Le¢n,24,Le¢n
7,Castilla y Le¢n,34,Palencia
7,Castilla y Le¢n,37,Salamanca
7,Castilla y Le¢n,40,Segovia
7,Castilla y Le¢n,42,Soria
7,Castilla y Le¢n,47,Valladolid
7,Castilla y Le¢n,49,Zamora
8,Castilla-La Mancha,2,Albacete
8,Castilla-La Mancha,13,Ciudad Real
8,Castilla-La Mancha,16,Cuenca
8,Castilla-La Mancha,19,Guadalajara
8,Castilla-La Mancha,45,Toledo
9,Catalu¤a,8,Barcelona
9,Catalu¤a,17,Girona
9,Catalu¤a,25,Lleida
9,Catalu¤a,43,Tarragona
10,Comunitat Valenciana,3,Alicante/Alacant
10,Comunitat Valenciana,12,Castell¢n/Castell¢
10,Comunitat Valenciana,46,Valencia/ValŠncia
11,Extremadura,6,Badajoz
11,Extremadura,10,C ceres
12,Galicia,15,"Coru¤a, A"
12,Galicia,27,Lugo
12,Galicia,32,Ourense
12,Galicia,36,Pontevedra
13,"Madrid, Comunidad de",28,Madrid
14,"Murcia, Regi¢n de",30,Murcia
15,"Navarra, Comunidad Foral de",31,Navarra
16,Pa¡s Vasco,1,Araba/µlava
16,Pa¡s Vasco,48,Bizkaia
16,Pa¡s Vasco,20,Gipuzkoa
17,"Rioja, La",26,"Rioja, La"
18,Ceuta,51,Ceuta
19,Melilla,52,Melilla
