CELDA_ORIGEN ,NOMBRE_CELDA_ORIGEN ,CELDA_DESTINO ,NOMBRE_CELDA_DESTINO ,FLUJO ,
001A ,Montesinos, Los y Algorfa ,023A ,Almorad� ,
001A ,Montesinos, Los y Algorfa ,058A ,Rojales ,
001A ,Montesinos, Los y Algorfa ,061A ,San Miguel de Salinas ,
001A ,Montesinos, Los y Algorfa ,091A ,Orihuela (distrito 05) ,
001A ,Montesinos, Los y Algorfa ,097A ,Torrevieja (distrito 01) ,
001A ,Montesinos, Los y Algorfa ,098A ,Torrevieja (distrito 02) ,
001A ,Montesinos, Los y Algorfa ,099A ,Torrevieja (distrito 03) ,
001B ,Sant Joan de Vilatorrada y otros municipios ,073B ,Sant Salvador de Guardiola y Manresa (distrito 06) ,75,
001B ,Sant Joan de Vilatorrada y otros municipios ,107B ,Santpedor ,60,
001B ,Sant Joan de Vilatorrada y otros municipios ,117B ,Sant Fruit�s de Bages ,89,
001B ,Sant Joan de Vilatorrada y otros municipios ,253B ,Manresa (distrito 02) ,166,
001B ,Sant Joan de Vilatorrada y otros municipios ,254B ,Manresa (distritos 01 y 03) ,50,
001B ,Sant Joan de Vilatorrada y otros municipios ,255B ,Manresa (distrito 04) ,162,
001B ,Sant Joan de Vilatorrada y otros municipios ,256B ,Manresa (distrito 05) ,134,
001M ,Fuentidue�a de Tajo y otros municipios ,04CU ,Barajas de Melo y otros municipios ,21,
001M ,Fuentidue�a de Tajo y otros municipios ,080M ,Villarejo de Salvan�s ,26,
001M ,Fuentidue�a de Tajo y otros municipios ,11GU ,Mond�jar y otros municipios ,49,
001M ,Fuentidue�a de Tajo y otros municipios ,26CU ,Taranc�n ,24,
001S ,Real de la Jara, El y otros municipios ,055S ,Guillena ,
001V ,Daim�s y otros municipios ,002V ,Bellreguard y otros municipios ,181,
001V ,Daim�s y otros municipios ,003V ,Gandia (distritos 01 y 03) ,121,
001V ,Daim�s y otros municipios ,004V ,Vilallonga/Villalonga y Ador ,48,
001V ,Daim�s y otros municipios ,037A ,D�nia ,54,
001V ,Daim�s y otros municipios ,049V ,Oliva y otros municipios ,88,
001V ,Daim�s y otros municipios ,093V ,Gandia (distrito 04) ,154,
002A ,Formentera del Segura y otros municipios ,001A ,Montesinos, Los y Algorfa ,
002A ,Formentera del Segura y otros municipios ,003A ,Bigastro y Jacarilla ,16,
002A ,Formentera del Segura y otros municipios ,021A ,Orihuela (distrito 08) y Rafal ,16,
002A ,Formentera del Segura y otros municipios ,023A ,Almorad� ,159,
002A ,Formentera del Segura y otros municipios ,031A ,Callosa de Segura ,16,
002A ,Formentera del Segura y otros municipios ,034A ,Catral ,16,
002A ,Formentera del Segura y otros municipios ,036A ,Crevillent ,16,
002A ,Formentera del Segura y otros municipios ,038A ,Dolores ,16,
002A ,Formentera del Segura y otros municipios ,041A ,Guardamar del Segura ,16,
002A ,Formentera del Segura y otros municipios ,058A ,Rojales ,510,
002A ,Formentera del Segura y otros municipios ,059A ,San Fulgencio ,67,
002A ,Formentera del Segura y otros municipios ,062A ,Santa Pola ,16,
002A ,Formentera del Segura y otros municipios ,065A ,Pilar de la Horadada ,16,
002A ,Formentera del Segura y otros municipios ,083A ,Elche/Elx (distrito 07 y secci�n 023 del distrito 06) ,44,
002A ,Formentera del Segura y otros municipios ,091A ,Orihuela (distrito 05) ,16,
002A ,Formentera del Segura y otros municipios ,097A ,Torrevieja (distrito 01) ,16,
002A ,Formentera del Segura y otros municipios ,098A ,Torrevieja (distrito 02) ,16,
002A ,Formentera del Segura y otros municipios ,116A ,Alicante (SCD Number 8-B) ,16,
002B ,�dena y otros municipios ,003B ,Torre de Claramunt, La y Pobla de Claramunt,
002B ,�dena y otros municipios ,019B ,Sant Pere de Vilamajor y otros municipios ,28,
002B ,�dena y otros municipios ,074B ,Igualada ,405,
002B ,�dena y otros municipios ,129B ,Santa Margarida de Montbui ,62,
002B ,�dena y otros municipios ,145B ,Vilanova del Cam� ,92,
002M ,Perales de Taju�a y otros municipios ,003M ,Valdilecha y otros municipios ,29,
002M ,Perales de Taju�a y otros municipios ,080M ,Villarejo de Salvan�s ,46,
002M ,Perales de Taju�a y otros municipios ,096M ,Arganda del Rey ,95,
002S ,Cazalla de la Sierra y Pedroso, El ,003S ,Guadalcanal y otros municipios ,
002S ,Cazalla de la Sierra y Pedroso, El ,005S ,Constantina y Navas de la Concepci�n,
002V ,Bellreguard y otros municipios ,001V ,Daim�s y otros municipios ,137,
002V ,Bellreguard y otros municipios ,003V ,Gandia (distritos 01 y 03) ,129,
