CELDA_DESTINO ;NOMBRE_CELDA_DESTINO ;N_ORIGEN ;POB_RESID ;POB_LLEGA ;P_POB_LLEGA ;
001A ;Montesinos, Los y Algorfa ;76 ;7903 ;846 ;10,70 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;109 ;14529 ;1048 ;7,21 ;
001M ;Fuentidueña de Tajo y otros municipios ;142 ;5149 ;558 ;10,84 ;
001S ;Real de la Jara, El y otros municipios ;96 ;6733 ;398 ;5,91 ;
001V ;Daimús y otros municipios ;52 ;6277 ;774 ;12,33 ;
002A ;Formentera del Segura y otros municipios ;54 ;9940 ;1159 ;11,66 ;
002B ;Òdena y otros municipios ;200 ;6522 ;1393 ;21,36 ;
002M ;Perales de Tajuña y otros municipios ;129 ;8186 ;741 ;9,05 ;
002S ;Cazalla de la Sierra y Pedroso, El ;49 ;6736 ;263 ;3,90 ;
002V ;Bellreguard y otros municipios ;57 ;8317 ;901 ;10,83 ;
003A ;Bigastro y Jacarilla ;71 ;8755 ;727 ;8,30 ;
003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;81 ;5907 ;646 ;10,94 ;
003M ;Valdilecha y otros municipios ;99 ;8101 ;646 ;7,97 ;
003S ;Guadalcanal y otros municipios ;43 ;4946 ;192 ;3,88 ;
003V ;Gandia (distritos 01 y 03) ;128 ;8396 ;2923 ;34,81 ;
004A ;Cox y otros municipios ;151 ;11819 ;1587 ;13,43 ;
004B ;Capellades y Vallbona d'Anoia ;60 ;6666 ;323 ;4,85 ;
004M ;Anchuelo y otros municipios ;87 ;6361 ;441 ;6,93 ;
004S ;Peñaflor y Puebla de los Infantes, La ;66 ;6647 ;474 ;7,13 ;
004V ;Vilallonga/Villalonga y Ador ;67 ;5778 ;847 ;14,66 ;
005A ;Albatera y San Isidro ;158 ;14265 ;1825 ;12,79 ;
005B ;Mediona y otros municipios ;67 ;5986 ;298 ;4,98 ;
005M ;Lozoyuela-Navas-Sieteiglesias y otros municipios ;109 ;5837 ;561 ;9,61 ;
