CELDA_ORIGEN ;NOMBRE_CELDA_ORIGEN ;N_DESTINO ;POB_RESID ;POB_SALE ;POB_CASA ;P_POB_SALE ;P_POB_CASA ;
001A ;Montesinos, Los y Algorfa ;56 ;7903 ;898 ;7005 ;11,36 ;88,64 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;100 ;14529 ;1126 ;13403 ;7,75 ;92,25 ;
001M ;Fuentidueña de Tajo y otros municipios ;104 ;5149 ;347 ;4802 ;6,74 ;93,26 ;
001S ;Real de la Jara, El y otros municipios ;90 ;6733 ;356 ;6377 ;5,29 ;94,71 ;
001V ;Daimús y otros municipios ;51 ;6277 ;881 ;5396 ;14,04 ;85,96 ;
002A ;Formentera del Segura y otros municipios ;61 ;9940 ;1293 ;8647 ;13,01 ;86,99 ;
002B ;Òdena y otros municipios ;198 ;6522 ;1098 ;5424 ;16,84 ;83,16 ;
002M ;Perales de Tajuña y otros municipios ;178 ;8186 ;615 ;7571 ;7,51 ;92,49 ;
002S ;Cazalla de la Sierra y Pedroso, El ;52 ;6736 ;233 ;6503 ;3,46 ;96,54 ;
002V ;Bellreguard y otros municipios ;60 ;8317 ;1069 ;7248 ;12,85 ;87,15 ;
003A ;Bigastro y Jacarilla ;60 ;8755 ;1150 ;7605 ;13,14 ;86,86 ;
003B ;Torre de Claramunt, La y Pobla de Claramunt, La ;70 ;5907 ;378 ;5529 ;6,40 ;93,60 ;
003M ;Valdilecha y otros municipios ;154 ;8101 ;649 ;7452 ;8,01 ;91,99 ;
003S ;Guadalcanal y otros municipios ;35 ;4946 ;180 ;4766 ;3,64 ;96,36 ;
003V ;Gandia (distritos 01 y 03) ;114 ;8396 ;1013 ;7383 ;12,07 ;87,93 ;
004A ;Cox y otros municipios ;112 ;11819 ;1399 ;10420 ;11,84 ;88,16 ;
004B ;Capellades y Vallbona d'Anoia ;68 ;6666 ;627 ;6039 ;9,41 ;90,59 ;
004M ;Anchuelo y otros municipios ;122 ;6361 ;627 ;5734 ;9,86 ;90,14 ;
004S ;Peñaflor y Puebla de los Infantes, La ;44 ;6647 ;361 ;6286 ;5,43 ;94,57 ;
004V ;Vilallonga/Villalonga y Ador ;59 ;5778 ;721 ;5057 ;12,48 ;87,52 ;
005A ;Albatera y San Isidro ;164 ;14265 ;1699 ;12566 ;11,91 ;88,09 ;
005B ;Mediona y otros municipios ;57 ;5986 ;456 ;5530 ;7,62 ;92,38 ;
005M ;Lozoyuela-Navas-Sieteiglesias y otros municipios ;147 ;5837 ;530 ;5307 ;9,08 ;90,92 ;
005S ;Constantina y Navas de la Concepción, Las ;44 ;7455 ;312 ;7143 ;4,19 ;95,81 ;
005V ;Font d'En Carròs, la y otros municipios ;54 ;5297 ;788 ;4509 ;14,88 ;85,12 ;
006A ;Fondó de les Neus, el/Hondón de las Nieves y otros municipios ;47 ;7512 ;361 ;7151 ;4,81 ;95,19 ;
006B ;Subirats y Olesa de Bonesvalls ;123 ;4854 ;642 ;4212 ;13,23 ;86,77 ;
006S ;Lora del Río y Alcolea del Río ;102 ;22035 ;914 ;21121 ;4,15 ;95,85 ;
006V ;Real de Gandía y otros municipios ;59 ;8271 ;1122 ;7149 ;13,57 ;86,43 ;
007A ;Sax y Salinas ;71 ;11446 ;397 ;11049 ;3,47 ;96,53 ;
007B ;Castellbell i el Vilar y otros municipios ;127 ;6947 ;686 ;6261 ;9,87 ;90,13 ;
007M ;Buitrago del Lozoya y otros municipios ;119 ;7674 ;393 ;7281 ;5,12 ;94,88 ;
007S ;Luisiana, La y Cañada Rosal ;53 ;7896 ;422 ;7474 ;5,34 ;94,66 ;
007V ;Simat de la Valldigna y Benifairó de la Valldigna ;37 ;4900 ;561 ;4339 ;11,45 ;88,55 ;
008A ;Elda (distritos 02 y 03) ;59 ;7090 ;939 ;6151 ;13,24 ;86,76 ;
008B ;Sant Vicenç de Castellet y otros municipios ;126 ;12365 ;816 ;11549 ;6,60 ;93,40 ;
008M ;Cercedilla y Navacerrada ;110 ;9998 ;623 ;9375 ;6,23 ;93,77 ;
008S ;Rubio, El y Marinaleda ;38 ;6035 ;379 ;5656 ;6,28 ;93,72 ;
008V ;Manuel y otros municipios ;54 ;5650 ;632 ;5018 ;11,19 ;88,81 ;
009A ;Agost y Tibi ;65 ;6372 ;475 ;5897 ;7,45 ;92,55 ;
009B ;Hostalets de Pierola, Els y Bruc, El ;145 ;5023 ;764 ;4259 ;15,21 ;84,79 ;
009M ;Robledo de Chavela y otros municipios ;104 ;7963 ;416 ;7547 ;5,22 ;94,78 ;
009S ;Gilena y Aguadulce ;40 ;5747 ;266 ;5481 ;4,63 ;95,37 ;
009V ;Pobla Llarga, la y otros municipios ;84 ;6092 ;718 ;5374 ;11,79 ;88,21 ;
010A ;Biar y otros municipios ;49 ;6991 ;602 ;6389 ;8,61 ;91,39 ;
010B ;Viladecavalls y Ullastrell ;164 ;9605 ;1149 ;8456 ;11,96 ;88,04 ;
010M ;Navas del Rey y Chapinería ;91 ;5246 ;383 ;4863 ;7,30 ;92,70 ;
010S ;Estepa y Lora de Estepa ;107 ;13367 ;940 ;12427 ;7,03 ;92,97 ;
010V ;Genovés y otros municipios ;70 ;5359 ;526 ;4833 ;9,82 ;90,18 ;
011A ;Busot y otros municipios ;56 ;5837 ;687 ;5150 ;11,77 ;88,23 ;
011B ;Sant Esteve Sesrovires y Sant Llorenç d'Hortons ;228 ;10025 ;1161 ;8864 ;11,58 ;88,42 ;
011M ;Navalagamella y otros municipios ;82 ;5907 ;463 ;5444 ;7,84 ;92,16 ;
011S ;Casariche y Badolatosa ;44 ;8534 ;412 ;8122 ;4,83 ;95,17 ;
011V ;Llutxent y otros municipios ;68 ;5991 ;712 ;5279 ;11,88 ;88,12 ;
